3	"<p>Chief Joseph Hatchery Science Program (CJHP) collaborates with USGS to conduct Environmental DNA (eDNA) sampling and analysis in an effort to monitor status and trends in spring-Chinook spatial distribution throughout the Okanogan basin in response to the reintroduction of the experimental population. Monitoring began prior to the reintroduction in an attempt to assess the pre-management action spatial distribution of spring-Chinook, allowing CJHP to assess the status and progress of the reintroduction efforts. Analysis of eDNA data revealed that while spring-Chinook were listed as extirpated within the Okanogan ESU, the basin likely does have a limited distribution of spring-Chinook. Additionally, PIT tag detections confirm the presence of occasional strays from out of basin.</p>

<p>As a proof of concept, sampling was initiated in 2012 with 5 mainstem Okanogan River sites and 11 Okanogan tributary sites as well as 32 sites throughout the Methow basin (See Laramie et al 2015a and CJHP 2013&nbsp;Annual Report). Sampling was conducted in June and August 2012 at all sites. In 2013, sampling was conducted only in the Okanogan basin, at 8 additional tributary sites not visited during the proof of concept study. These sites were sampled in June and were located in tributary streams with potential for spring-Chinook recolonization. In 2014, all previously sampled sites in the Okanogan basin were re-visited and sampled (US sites on 12-13 July, 2014, and Canada sites on 2 October 2014). See CJHP 2014 Annual Report (appendix C) for results from 2012 thru 2014 eDNA analyses. Several tributaries have produced consistent annual detection of Chinook eDNA, including Shingle Creek, Vaseux Creek, Salmon Creek and Omak Creek. Monitoring eDNA will serve as a resource prioritization tool, indicating which streams may warrant additional, more intensive survey efforts (e.g. electrofishing mark/recapture, snorkle surveys) to obtain density/abundance information, and which stream are not likely utilized by spring-Chinook. Results may also inform habitat rehabilitation/restoration efforts (e.g. removal of barriers to anadromy, habitat improvements).&nbsp;</p>

['Determine which Okanogan Basin tributaries are utilized by spring-Chinook, as indicated by the presence of Chinook eDNA.', 'Monitor the status and trends of spring-Chinook distribution throughout the Okanogan Basin (USA & Canada) using environmental DNA (eDNA) analysis.']"																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	"<p>OBMEP is a long term status and trends monitoring program that collects data on habitat conditions for salmonids in their freshwater life stages. OBMEP Habitat Monitoring methods were developed according to the Monitoring Strategy for the Upper Columbia Basin (2004) by Tracy Hillman, and aligned with the methods of the Collaborative Systemwide Monitoring &amp; Evaluation Program (CSMEP), the Pacific Northwest Aquatic Monitoring Partnership (PNAMP) and originally implemented following the Environmental Monitoring and Assessment Program (EMAP). To ensure compatibility with other regional and basin wide projects, OBMEP coordinates with multiple disciplines and agencies throughout the Okanogan River Basin, Columbia Cascade Province, and Columbia River Basin.</p>

['Monitor status and trend of physical habitat of salmonids below anadromous barriers. ']"																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	"<p>The Pacific Lamprey (Entosphenus tridentatus) is an anadromous lamprey species of the Pacific Northwest with populations from Alaska to California. However, the species has suffered severe declines in abundance across its range, including the Columbia Basin. Concern on the part of the Columbia River Treaty Tribes (Close et al 2002) prompted development of the &ldquo;Tribal Pacific Lamprey Restoration Plan for the Columbia Basin&rdquo;. An understanding of the need for improved monitoring as well as the implementation of regional and rangewide restoration efforts was described shortly afterwards in the &ldquo;Conservation Agreement for Pacific Lamprey (Entosphenus tridentatus) in the States of Alaska, Washington, Oregon, Idaho, and California&rdquo; (USFWS 2012). In both documents it was recognized that the population substructure of Pacific Lamprey is poorly understood and represents a critical uncertainty&nbsp;relative to designing restoration efforts.</p>

<p>The situation is complicated by the fact that traditional tagging methods (e.g. fin-clipping, PIT, acoustic, and radio tags, etc.), that have been used to study other fish species, are largely unavailable for use with lamprey, due to the small size of the fish through their extended larval and juvenile life stages. An alternative approach is to analyze the fish genetically &ndash; an animal&rsquo;s genotype providing a natural &ldquo;tag&rdquo; that can be exploited for species identification, to assess population structure, individual-specific identification, and parentage analysis (Matala et al. 2011; Hess et al. 2013; Hess et al. 2014).<br />
<br />
The apparent lack of, or minimal at least, genetic differentiation has offered the possibility of using adult translocation as a means to supplement depressed populations while minimizing the threat of disrupting genetic substructure, such as is strongly observed among salmon populations. The Umatilla, Yakama, and Nez Perce Tribes have each initiated translocation programs in attempts to restore local populations within their ceded territories (Umatilla Tribe, BPA 1994-026-00; Yakama Nation, BPA 2008-470-00; Nez Perce Tribe, Pacific Lamprey Restoration Project). Additionally, projects to monitor existent populations are being conducted by the Warms Springs Tribe (BPA 2008-308-00 and 2011-014-00) and CRITFC is providing support to these programs, plus additional work through BPA project 2008-524-00.<br />
<br />
In order to better adaptively manage regional lamprey projects, each has associated activities for the collection and counting of lampreys at all life history stages. In order to exploit incorporation of genetic analyses and to provide additional information from fish as they are intercepted during these monitoring activities, the CRITFC project (2008-524-00) included a work element to develop a standardize a suite of single nucleotide polymorphism (SNP) DNA markers (https://www.monitoringresources.org/Document/Protocol/Details/713) that would provide consistent analyses within and among regional and rangewide lamprey projects. This effort resulted in the establishment of a panel of SNPs for use in fluidigm 96-SNP microarrays (Hess et al. 2015) capable of species identification, understanding physiology and life history of returning adults, calculating effective number of tributary spawners, and evaluating size, age and transformation status of outmigrating juveniles from the tributary environment, among other things.</p>

['Collect tissue samples from all adult lamprey collected for regional restoration efforts (e.g. translocation and artificial propagation) from mainstem Columbia River dams.', 'Strategically collect tissue samples from larval/juvenile lampreys during regional research/monitoring efforts (e.g. electrofishing and screw trap monitoring) in CRB study/control streams.', 'Strategically collect tissue samples from all life history stages at sites throughout the CRB, including but not limited to, mortalities and lampreys handled at mainstem/tributary dams.', 'Collect tissue samples from all adult lamprey handled for regional monitoring and evaluation efforts (e.g. passage monitoring at Willamette Falls and mainstem Columbia River dams).', 'Utilize multifunctional SNPs panel for Pacific Lamprey on CRB lamprey collections (Obj. 1-4) to provide qualitative and quantitative assessment of productivity and life history characteristics.']"																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	"<p>Many streams in the Pacific Northwest have depleted wood volume due to past human activities such as logging in riparian areas, salvage logging of wood in streams, splash-dams, and misguided attempts to remove perceived obstructions to salmon migration.&nbsp; In addition, streams have been modified and simplified due to agriculture and urban development.&nbsp; This process has reduced channel complexity, isolated main stem habitats from side-channels and floodplains, reduced cover for aquatic species, and altered channel morphology.&nbsp; Instream structures can be used to create pools, increase habitat complexity, reduce sediment transport, trap gravel needed for spawning, stabilize stream channels, provide food for aquatic invertebrates, and provide stream nutrients, increasing overall stream productivity (Roni and Quinn 2001). As a result, installation of instream structures, particularly placement of large woody debris (LWD), has become one of the longest used and most common techniques for improving fish habitat and mitigating human-caused degradation (Roni and Quinn 2001; Roni et. al. 2005).&nbsp; Use of instream structures began as early as the 1930&rsquo;s in the Midwest and has been adapted to the higher gradient systems in the Pacific Northwest (Roni et al. 2005).</p>

<p>The effectiveness of instream structures in enhancing habitat has been debated due to the lack of evaluation, as well as confounding results due to improper structure placement and lack of documentation of effects on factors directly limiting habitat quality (Roni et al. 2005). Calls to better evaluate habitat improvement projects began in the early 1980s (Reeves and Roelofs 1982), and continued throughout the 1990s (Reeves et al. 1991; Chapman 1996; Kauffman et al. 1997). Others have suggested the approach to restoration should shift to protecting high-quality habitats and restoring connectivity and watershed processes before implementing instream habitat improvement projects (Roni et al. 2008; Frissell and Nawa 1992), or focusing on restoring riparian forests with trees large enough to replenish LWD naturally in the system over time (Collins and Montgomery 2002). The need for additional effectiveness monitoring and evaluation is widely apparent in the Pacific Northwest.</p>

<p>This document details the monitoring design, procedures and quality assurance steps necessary to document and report the effectiveness of Instream Habitat Projects at the Project site scale. This supports the Bonneville Power Administration&rsquo;s Programmatic approach to project level Action Effectiveness Monitoring (AEM), as documented in &quot;Action Effectiveness Monitoring of Tributary Habitat Improvement: a programmatic approach for the BPA Fish and Wildlife Program&quot;. This protocol is based on the Washington Salmon Recovery Funding Board &nbsp;(SRFB) protocol, &ldquo;SRFB - Monitoring Effectiveness of Instream Habitat Projects&rdquo; (ID: 35)&nbsp;(https://www.monitoringmethods.org/Protocol/Details/35); however, variations in the design and metrics collected required modification of the protocol.&nbsp; This approach also draws heavily from the Scientific Protocol for Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) (ID:806). This document details the monitoring design and procedures necessary to document and report reach scale effectiveness of projects treating:</p>

<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Channel Reconfiguration</p>

<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Installed Deflectors</p>

<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Log and Rock Control weirs</p>

<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Roughened Channels</p>

<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Woody Debris</p>

<div>&nbsp;</div>

<p>&nbsp;</p>

['Bank Stability (a) -Determine if bank stability changed (amount and rate) as a result of the project (Years -2, -1, 1, 3, 5, and 10)', 'Bank Stability (b) -Determine how bank erosion rate changed as a result of bank stabilization project (Years -2, -1, 1, 3, 5, and 10)', 'Bank Stability (c) -Determine if percent pool tail fines changed as a result of the project (Only if change in fines is a goal) (Years -2, -1, 1, 3, 5, and 10)', 'Vegetation Enhancement  see Riparian Planting protocol for evaluation procedures', 'Determine if local juvenile fish density increased as a result of the project (Years -2, -1, 1, 3, 5, and 10) (seasonal focus for specific project habitat outcome)', 'Determine if fish use differs by structure type (e.g. wood revetment, rock revetment, vegetated revetment), life stage, or species composition (Years -2, -1, 1, 3, 5, and 10)', 'Determine the distribution of habitat types within the reach (Years -2, -1, 1, 3, 5, and 10)', 'LWD and ELJ - Determine if pool frequency, area and depth and pool/riffle ratio changed due to the project  ', 'LWD and ELJ - Determine if the volume of functional wood increased by Year 10 (Years -2 -1, 1, 3, 5, and 10)', 'LWD and ELJ - Determine if the amount of instream cover increased as a result of the project by Year 10 (Years -2, -1, 1, 3, 5, and 10)', 'LWD and ELJ - Determine if the complexity of the channel increased as a result of the project (only if increasing complexity is a stated goal of the project)(Years -2, -1, 1, 3, 5, and 10)', 'Increase Spawning Habitat - Determine if spawning habitat been enhanced. (Only if enhancing spawning habitat is a goal) (Years -2, -1, 1, 3, 5, and 10)']"																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	"<p>Net&nbsp;primary production&nbsp;is a fundamental ecological process that reflects the amount of carbon synthesized within an ecosystem which is ultimately available to consumers (Davies,&nbsp;Bunn, and Hamilton 2008). By selecting the appropriate environmental variables in a watershed system, gross primary production (GPP) may be calculated in stream ecosystems, predicting food consumption by a variety of aquatic species. Used as an input in a bioenergetics model, it can aid in making spatially-explicit predictions regarding habitat needs and capacity. Preliminary&nbsp;GPP&nbsp;model development work by Eco Logical Research, Inc. (ELR) has shown promising results using temperature, solar insolation, and electrical conductivity as model inputs for GPP predictions for steelhead populations. This protocol describes the methods for operating the ArcGIS toolsets to calculate solar insolation and electrical conductivity within a watershed&rsquo;s stream network.</p>

<p>Solar insolation directly affects stream temperature (Sinokrot&nbsp;and Stefan, 1993) and the primary productivity of streams (Fisher and Likens, 1973; Hill et al., 1995).&nbsp;Work to date has explored using area solar insolation for the solar input parameter.&nbsp;ELR&nbsp;has&nbsp;developed a preliminary workflow for predicting solar insolation for a stream network, summarizing the average upstream solar insolation values (watt hours per square meter,&nbsp;WH/m&sup2;) per 200-meter stream segments. &nbsp;South Fork Research, Inc. (SFR) is improving this method and automating the solar insolation modeling process through the development of&nbsp;ArcGIS&nbsp;Python tools. Accuracy of solar results were validated using field data collected using&nbsp;SunEye, described in the Solar Input v2.0 Methods associated with this protocol (Bouwes&nbsp;et al. 2011).</p>

<p>Electrical conductivity has been shown to be a potential indicator of aquatic&nbsp;macroinvertebrate&nbsp;species richness (Spieles&nbsp;and&nbsp;Mitsch&nbsp;2000, Brown, Hannah et al. 2007) and also can influence faunal life stages (Tar&iacute;n&nbsp;and&nbsp;Cano&nbsp;2000). By incorporating a previously developed electrical conductivity predictive model (Olson and Hawkins 2012), we built an automated workflow for predicting conductivity for a stream network, summarizing predicted upstream conductivity values (&mu;S&nbsp;cm<sup>-1</sup>) per 1000-meter stream segments.</p>

['Summarize predicted upstream conductivity values (µS cm-1) per 1000-meter stream segments for HUC4 watersheds.', 'Summarize the average upstream solar insolation values (watt hours per square meter, WH/m2) per 200-meter stream segments for HUC4 watersheds.', 'Generate and compile solar insolation and electrical conductivity outputs for use in a gross primary production (GPP) model.']"																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	"<p>This project&nbsp;aims to sample&nbsp;juvenile wild Steelhead <em>Oncorhynchus mykiss</em> in headwater streams of the Wind River, WA, to characterize population attributes and investigate life-history metrics, particularly age at migration, seasonal migratory patterns, growth, and early life-stage survival.&nbsp;Passive Integrated Transponder (PIT)-tagging and a series of instream PIT-tag interrogation systems (PTISs) are used to track juveniles, in addition to smolt trapping by WDFW. The PTISs also provide information on adult Steelhead migrations and populations. The Wind River subbasin is considered a wild Steelhead refuge by Washington Department of Fish and Wildlife (WDFW). No hatchery Steelhead have been planted in the Wind River subbasin since 1997, and hatchery adults are estimated at less than one percent of spawners in most years (Thomas Buehrens, WDFW, pers comm.). Data generated from this work&nbsp;will contribute to understanding the diversity of steelhead life-histories, their spatial distribution, and inform life-cycle models. This work will also contribute&nbsp;to assessing Steelhead population response to numerous restoration actions in the subbasin, including removal of Hemlock Dam from Trout Creek in 2009.</p>

<p>&nbsp;</p>

['Assess survival and age at migration of age-0 and age-1 Steelhead parr from their headwater rearing habitat to downstream sample sites.', 'Describe population attributes (size, growth, distribution, and abundance) and data trends of age-0 and age-1 Steelhead parr in headwaters areas of the Wind River, WA.\r\n\r\n', 'Assess distribution and relative abundance of non-native Brook Trout and Chinook Salmon.', 'Operate a series of instream PIT-tag Detection Systems to detect PIT-tagged juvenile and adult Steelhead to contribute data to assess migration timing, survival, and abundance.', 'Determine abundance of migratory Steelhead parr from headwater to downstream rearing areas.']"																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	"<p>The seven water quality attributes identified by the UCMS (Hillman 2006) to be continuously monitored include temperature (weekly and daily maximums), turbidity, conductivity, pH, and dissolved oxygen (DO) at monitoring sites located at the downstream end of the watersheds within the Wenatchee basin, commonly where rotary screw traps are located.</p>

<p>The UCMS (Hillman 2006) also calls for seasonal measurements of dissolved and particulate forms of nitrogen and phosphorous, achieved by collecting monthly grab samples at these same sites.&nbsp; Methods for continuous monitoring of attributes at integrator sites follow the manufacturers&rsquo; guidelines for deployment and calibration, and are co-located as close as possible to flow gauges operated by the United States Geological Service (USGS) or Washington State Department of Ecology (WDOE).&nbsp; Coupling water quality monitoring stations with associated flow gauges allows investigators to assess the effect of stream flow upon the water quality attributes. &nbsp;</p>

['To standardize/document water quality monitoring procedures in the Upper Columbia Basin\r\nDetermine the source and timing of elevated turbidity levels in the Wenatchee River subbasin\r\n', 'Address Clean Water Act exceedences in pH and continuously monitor temperature at selected sites as part of effectiveness monitoring in the Entiat River subbasin.', 'Determine the status and trend of water quality metrics in the Wenatchee and Entiat River subbasins\r\n\r\n']"																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
